library,Stage_Version,Stage_Containter,Prod_Version,Prod_Containter,matches
pickleshare,0.7.4,py27_0,0.7.4,py27_0,yes
pillow,4.0.0,py27_0,3.2.0,py27_1,no
pillow,4.0.0,py27_0,4.0.0,py27_0,yes
pip,9.0.1,<pip>,8.1.2,<pip>,no
pip,9.0.1,<pip>,9.0.1,<pip>,yes
pip,9.0.1,<pip>,9.0.1,py27_0,yes
pip,9.0.1,<pip>,9.0.1,py27_1,yes
pip,9.0.1,py27_1,8.1.2,<pip>,no
pip,9.0.1,py27_1,9.0.1,<pip>,yes
pip,9.0.1,py27_1,9.0.1,py27_0,yes
pip,9.0.1,py27_1,9.0.1,py27_1,yes
pixman,0.34.0,0,0.32.6,0,no
pixman,0.34.0,0,0.34.0,0,yes
pkginfo,1.3.2,py27_0,1.2.1,py27_0,no
pkginfo,1.3.2,py27_0,1.3.2,py27_0,yes
plotly,2.0.8,<pip>,1.12.9,<pip>,no
ply,3.9,py27_0,3.10,<pip>,no
ply,3.9,py27_0,3.9,<pip>,yes
ply,3.9,py27_0,3.9,py27_0,yes
portend,1.8,<pip>,1.8,<pip>,yes
prettytable,0.7.2,<pip>,0.7.2,<pip>,yes
prompt_toolkit,1.0.9,py27_0,1.0.14,py27_0,no
prompt_toolkit,1.0.9,py27_0,1.0.9,py27_0,yes
protobuf,3.3.0,<pip>,3.2.0,py27_0,no
psutil,4.4.2,<pip>,4.4.2,<pip>,yes
psutil,4.4.2,<pip>,5.0.1,py27_0,no
psutil,4.4.2,<pip>,5.2.1,py27_0,no
psutil,4.4.2,<pip>,5.2.2,<pip>,no
psutil,5.0.1,py27_0,4.4.2,<pip>,no
psutil,5.0.1,py27_0,5.0.1,py27_0,yes
psutil,5.0.1,py27_0,5.2.1,py27_0,no
psutil,5.0.1,py27_0,5.2.2,<pip>,no
ptyprocess,0.5.1,py27_0,0.5.1,py27_0,yes
py,1.4.32,py27_0,1.4.32,py27_0,yes
py,1.4.32,py27_0,1.4.33,py27_0,no
py-xgboost,0.60,py27np112h0aae3cd_0,0,,no
pyaml,16.12.2,<pip>,16.12.2,<pip>,yes
pyasn1,0.1.9,py27_0,0.1.9,py27_0,yes
pyasn1,0.1.9,py27_0,0.2.3,py27_0,no
pycairo,1.10.0,py27_0,1.10.0,py27_0,yes
pycosat,0.6.1,py27_1,0.6.1,py27_0,yes
pycosat,0.6.1,py27_1,0.6.1,py27_1,yes
pycosat,0.6.1,py27_1,0.6.2,<pip>,no
pycparser,2.17,py27_0,2.17,<pip>,yes
pycparser,2.17,py27_0,2.17,py27_0,yes
pycrypto,2.6.1,py27_4,2.6.1,py27_0,yes
pycrypto,2.6.1,py27_4,2.6.1,py27_4,yes
pycurl,7.43.0,py27_2,7.43.0,py27_2,yes
pydot,1.2.3,<pip>,1.2.3,<pip>,yes
pydot2,1.0.33,<pip>,1.0.33,<pip>,yes
pydotplus,2.0.2,<pip>,2.0.2,<pip>,yes
pyflakes,1.5.0,py27_0,1.5.0,<pip>,yes
pyflakes,1.5.0,py27_0,1.5.0,py27_0,yes
pygments,2.1.3,py27_0,2.1.3,py27_0,yes
pygments,2.1.3,py27_0,2.2.0,py27_0,no
pyhdb,0.3.3,<pip>,0.3.1,<pip>,no
pyhs2,0.6.0,<pip>,0.6.0,<pip>,yes
pyhs2,0.6.0,<pip>,0.6.0,py27_0,yes
pykerberos,1.1.14,<pip>,1.1.10,py27_0,no
pykerberos,1.1.14,<pip>,1.1.14,<pip>,yes
pylint,1.6.4,py27_1,1.6.4,py27_1,yes
pymssql,2.1.3,<pip>,2.1.3,py27_0,yes
pyodbc,4.0.17,py27_0,3.0.10,py27_1,no
pyodbc,4.0.17,py27_0,4.0.17,<pip>,yes
pyopenssl,16.2.0,py27_0,16.2.0,py27_0,yes
pyparsing,2.1.4,py27_0,2.0.3,py27_0,no
pyparsing,2.1.4,py27_0,2.1.4,py27_0,yes
pyqt,5.6.0,py27_2,4.11.4,py27_2,no
pyqt,5.6.0,py27_2,5.6.0,py27_2,yes
pyqt5,5.5.0,py27_0,5.5.0,py27_0,yes
pytables,3.4.2,np112py27_0,3.2.2,np19py27_0,no
pytables,3.4.2,np112py27_0,3.3.0,np111py27_0,no
pytest,3.0.5,py27_0,3.0.5,py27_0,yes
pytest,3.0.5,py27_0,3.0.7,py27_0,no
pytest-qt,1.11.0,py_0,1.11.0,py_0,yes
python,2.7.13,0,2.7.13,0,yes
python-daemon,2.1.2,<pip>,2.1.2,<pip>,yes
python-dateutil,2.6.0,<pip>,2.6.0,<pip>,yes
